filename,true_class,pred_class,confidence,is_misclassified,path
54--Rescue_54_Rescue_firemanrescue_54_167.jpg_b138221.jpg,clear,occluded,0.7296,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\54--Rescue_54_Rescue_firemanrescue_54_167.jpg_b138221.jpg
2--Demonstration_2_Demonstration_Demonstration_Or_Protest_2_565.jpg_b62512.jpg,clear,occluded,0.7039,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\2--Demonstration_2_Demonstration_Demonstration_Or_Protest_2_565.jpg_b62512.jpg
01a0b760-1ae0-72e1-b233-83b1156b5785_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789782924240_img_face.jpg,occluded,clear,0.6776,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\01a0b760-1ae0-72e1-b233-83b1156b5785_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789782924240_img_face.jpg
PhongLT_20260415_090608_7.jpg,clear,occluded,0.6586,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\PhongLT_20260415_090608_7.jpg
13--Interview_13_Interview_Interview_2_People_Visible_13_244.jpg_b37209.jpg,clear,occluded,0.6576,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\13--Interview_13_Interview_Interview_2_People_Visible_13_244.jpg_b37209.jpg
44--Aerobics_44_Aerobics_Aerobics_44_474.jpg_b123649.jpg,clear,occluded,0.6551,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\44--Aerobics_44_Aerobics_Aerobics_44_474.jpg_b123649.jpg
0--Parade_0_Parade_Parade_0_461.jpg_b2859.jpg,occluded,clear,0.6404,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\0--Parade_0_Parade_Parade_0_461.jpg_b2859.jpg
01a0b346-f0f0-7182-91fb-e71e396e81c0_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789714166711_img_face6.jpg,clear,occluded,0.6057,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\01a0b346-f0f0-7182-91fb-e71e396e81c0_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789714166711_img_face6.jpg
34--Baseball_34_Baseball_Baseball_34_529.jpg_b101033.jpg,occluded,clear,0.5729,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\34--Baseball_34_Baseball_Baseball_34_529.jpg_b101033.jpg
01a0b343-89d8-7fa2-b722-ae1f65bd77fb_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789713943134_img_face5.jpg,occluded,clear,0.5440,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\01a0b343-89d8-7fa2-b722-ae1f65bd77fb_nvr-llWGaUl9M9E771xokkJUiNr5fMyJBigI_1789713943134_img_face5.jpg
000037_face.jpg,clear,occluded,0.5398,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\000037_face.jpg
2--Demonstration_2_Demonstration_Political_Rally_2_816.jpg_b20003.jpg,occluded,clear,0.5356,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\2--Demonstration_2_Demonstration_Political_Rally_2_816.jpg_b20003.jpg
face_0006_aligned112.jpg,occluded,clear,0.5344,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\face_0006_aligned112.jpg
13--Interview_13_Interview_Interview_2_People_Visible_13_96.jpg_b36634.jpg,clear,occluded,0.5258,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\13--Interview_13_Interview_Interview_2_People_Visible_13_96.jpg_b36634.jpg
007052_face.jpg,occluded,clear,0.5240,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\007052_face.jpg
11--Meeting_11_Meeting_Meeting_11_Meeting_Meeting_11_44.jpg_b23091.jpg,occluded,clear,0.5053,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\11--Meeting_11_Meeting_Meeting_11_Meeting_Meeting_11_44.jpg_b23091.jpg
54--Rescue_54_Rescue_firemanrescue_54_672.jpg_b137945.jpg,occluded,clear,0.5035,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\54--Rescue_54_Rescue_firemanrescue_54_672.jpg_b137945.jpg
32--Worker_Laborer_32_Worker_Laborer_Worker_Laborer_32_810.jpg_b99684.jpg,clear,clear,0.5950,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\32--Worker_Laborer_32_Worker_Laborer_Worker_Laborer_32_810.jpg_b99684.jpg
26--Soldier_Drilling_26_Soldier_Drilling_Soldiers_Drilling_26_710.jpg_b22932.jpg,clear,clear,0.5915,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\26--Soldier_Drilling_26_Soldier_Drilling_Soldiers_Drilling_26_710.jpg_b22932.jpg
9--Press_Conference_9_Press_Conference_Press_Conference_9_329.jpg_b156222.jpg,clear,clear,0.5899,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\9--Press_Conference_9_Press_Conference_Press_Conference_9_329.jpg_b156222.jpg
QuyND_20260414_161836_498.jpg,clear,clear,0.5893,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\QuyND_20260414_161836_498.jpg
61--Street_Battle_61_Street_Battle_streetfight_61_821.jpg_b147119.jpg,occluded,occluded,0.5876,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\61--Street_Battle_61_Street_Battle_streetfight_61_821.jpg_b147119.jpg
2--Demonstration_2_Demonstration_Political_Rally_2_282.jpg_b62088.jpg,clear,clear,0.5800,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\2--Demonstration_2_Demonstration_Political_Rally_2_282.jpg_b62088.jpg
9--Press_Conference_9_Press_Conference_Press_Conference_9_608.jpg_b156905.jpg,clear,clear,0.5794,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\9--Press_Conference_9_Press_Conference_Press_Conference_9_608.jpg_b156905.jpg
007988_face.jpg,clear,clear,0.5707,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\007988_face.jpg
8--Election_Campain_8_Election_Campain_Election_Campaign_8_534.jpg_b154235.jpg,occluded,occluded,0.5516,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\8--Election_Campain_8_Election_Campain_Election_Campaign_8_534.jpg_b154235.jpg
002600_face.jpg,clear,clear,0.5479,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\002600_face.jpg
41--Swimming_41_Swimming_Swimming_41_101.jpg_b121809.jpg,clear,clear,0.5464,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\41--Swimming_41_Swimming_Swimming_41_101.jpg_b121809.jpg
13--Interview_13_Interview_Interview_2_People_Visible_13_394.jpg_b37385.jpg,occluded,occluded,0.5220,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\13--Interview_13_Interview_Interview_2_People_Visible_13_394.jpg_b37385.jpg
40--Gymnastics_40_Gymnastics_Gymnastics_40_740.jpg_b30837.jpg,clear,clear,0.5184,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\40--Gymnastics_40_Gymnastics_Gymnastics_40_740.jpg_b30837.jpg
006177_face.jpg,occluded,occluded,0.5154,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\006177_face.jpg
20--Family_Group_20_Family_Group_Family_Group_20_122.jpg_b81748.jpg,clear,clear,0.5084,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\20--Family_Group_20_Family_Group_Family_Group_20_122.jpg_b81748.jpg
2--Demonstration_2_Demonstration_Demonstrators_2_108.jpg_b47343.jpg,clear,clear,0.5052,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\2--Demonstration_2_Demonstration_Demonstrators_2_108.jpg_b47343.jpg
001785_face.jpg,clear,clear,0.5043,False,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\001785_face.jpg
